#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  17800      2.04e+00    1.94e+00      1.92e-02    1.63e-02      6.97e-02    6.63e-02    8.6e-04
  17900      2.12e+00    1.99e+00      1.02e-02    3.60e-03      7.23e-02    6.78e-02    8.6e-04
  18000      2.40e+00    2.07e+00      6.75e-02    5.72e-02      8.14e-02    7.02e-02    8.6e-04
  18100      2.02e+00    2.10e+00      6.89e-02    5.24e-02      6.82e-02    7.13e-02    8.6e-04
  18200      2.00e+00    2.09e+00      3.14e-02    3.75e-02      6.80e-02    7.12e-02    8.6e-04
  18300      2.12e+00    2.27e+00      3.47e-02    2.53e-02      7.23e-02    7.73e-02    8.6e-04
  18400      1.90e+00    1.96e+00      7.06e-03    2.25e-03      6.47e-02    6.68e-02    8.6e-04
  18500      2.20e+00    2.04e+00      2.38e-02    1.93e-02      7.49e-02    6.95e-02    8.6e-04
  18600      2.17e+00    2.28e+00      3.05e-02    1.28e-02      7.39e-02    7.78e-02    8.6e-04
  18700      2.07e+00    1.86e+00      7.09e-03    1.76e-03      7.05e-02    6.36e-02    8.6e-04
  18800      1.92e+00    1.80e+00      6.86e-02    5.67e-02      6.50e-02    6.11e-02    8.6e-04
  18900      1.93e+00    1.89e+00      7.66e-02    8.14e-02      6.51e-02    6.38e-02    8.6e-04
  19000      1.93e+00    1.92e+00      6.91e-03    7.44e-03      6.57e-02    6.55e-02    8.6e-04
  19100      1.95e+00    1.91e+00      4.31e-02    3.49e-02      6.64e-02    6.49e-02    8.6e-04
  19200      2.04e+00    2.16e+00      8.09e-03    3.00e-04      6.95e-02    7.36e-02    8.6e-04
  19300      2.29e+00    2.35e+00      7.50e-03    6.97e-03      7.82e-02    8.02e-02    8.6e-04
  19400      1.91e+00    1.81e+00      2.78e-02    3.36e-02      6.51e-02    6.18e-02    8.6e-04
  19500      1.89e+00    1.53e+00      2.54e-02    9.97e-03      6.43e-02    5.23e-02    8.6e-04
  19600      2.44e+00    2.21e+00      7.41e-03    7.60e-04      8.34e-02    7.54e-02    8.6e-04
  19700      1.99e+00    1.82e+00      3.26e-02    2.65e-02      6.77e-02    6.20e-02    8.6e-04
  19800      2.02e+00    1.91e+00      3.17e-02    2.69e-02      6.87e-02    6.52e-02    8.6e-04
  19900      1.86e+00    1.70e+00      1.73e-02    1.18e-02      6.36e-02    5.80e-02    8.6e-04
  20000      2.09e+00    2.07e+00      4.32e-02    4.24e-02      7.30e-02    7.22e-02    8.1e-04
  20100      2.05e+00    2.21e+00      4.65e-02    4.77e-02      7.15e-02    7.72e-02    8.1e-04
  20200      1.92e+00    1.87e+00      7.96e-03    8.62e-03      6.74e-02    6.57e-02    8.1e-04
  20300      1.83e+00    1.62e+00      2.05e-02    9.58e-03      6.39e-02    5.69e-02    8.1e-04
  20400      1.86e+00    1.67e+00      3.28e-02    3.35e-02      6.50e-02    5.83e-02    8.1e-04
  20500      1.75e+00    1.60e+00      1.58e-02    9.28e-03      6.13e-02    5.61e-02    8.1e-04
  20600      2.05e+00    2.06e+00      6.55e-03    9.74e-03      7.19e-02    7.20e-02    8.1e-04
  20700      1.80e+00    1.58e+00      6.20e-02    5.74e-02      6.21e-02    5.45e-02    8.1e-04
  20800      1.95e+00    2.00e+00      3.51e-02    3.41e-02      6.80e-02    6.99e-02    8.1e-04
  20900      1.78e+00    1.60e+00      3.25e-02    3.61e-02      6.22e-02    5.58e-02    8.1e-04
  21000      1.75e+00    1.79e+00      9.64e-03    2.19e-02      6.11e-02    6.25e-02    8.1e-04
  21100      1.76e+00    1.83e+00      2.37e-02    1.34e-02      6.16e-02    6.42e-02    8.1e-04
  21200      1.85e+00    1.72e+00      3.81e-02    4.09e-02      6.45e-02    6.00e-02    8.1e-04
  21300      2.29e+00    2.10e+00      1.38e-02    1.08e-02      8.01e-02    7.35e-02    8.1e-04
  21400      1.97e+00    2.12e+00      4.45e-02    4.23e-02      6.86e-02    7.40e-02    8.1e-04
  21500      1.80e+00    2.23e+00      7.78e-03    1.21e-02      6.31e-02    7.81e-02    8.1e-04
  21600      1.92e+00    1.68e+00      6.20e-02    6.40e-02      6.67e-02    5.81e-02    8.1e-04
  21700      1.65e+00    1.54e+00      6.69e-03    7.54e-03      5.79e-02    5.41e-02    8.1e-04
  21800      1.78e+00    1.77e+00      5.87e-02    4.71e-02      6.16e-02    6.15e-02    8.1e-04
  21900      2.10e+00    2.09e+00      1.01e-02    1.46e-02      7.35e-02    7.32e-02    8.1e-04
  22000      1.83e+00    1.72e+00      6.60e-03    5.89e-03      6.41e-02    6.02e-02    8.1e-04
  22100      1.74e+00    2.04e+00      2.57e-02    2.80e-02      6.10e-02    7.12e-02    8.1e-04
  22200      2.49e+00    2.28e+00      6.85e-03    1.12e-02      8.73e-02    8.00e-02    8.1e-04
  22300      1.81e+00    1.93e+00      4.31e-02    3.47e-02      6.30e-02    6.73e-02    8.1e-04
  22400      1.83e+00    1.59e+00      2.66e-02    1.45e-02      6.39e-02    5.57e-02    8.1e-04
  22500      1.66e+00    1.66e+00      7.67e-03    1.13e-02      5.80e-02    5.83e-02    8.1e-04
  22600      1.75e+00    1.72e+00      5.26e-02    6.61e-02      6.06e-02    5.95e-02    8.1e-04
  22700      2.16e+00    2.01e+00      6.67e-02    7.29e-02      7.51e-02    6.95e-02    8.1e-04
  22800      1.67e+00    1.86e+00      4.74e-02    3.34e-02      5.79e-02    6.51e-02    8.1e-04
  22900      1.71e+00    1.59e+00      2.41e-02    2.51e-02      5.97e-02    5.54e-02    8.1e-04
  23000      2.01e+00    1.90e+00      2.21e-02    1.51e-02      7.02e-02    6.64e-02    8.1e-04
  23100      1.71e+00    1.97e+00      1.51e-02    1.58e-02      5.98e-02    6.90e-02    8.1e-04
  23200      1.68e+00    1.49e+00      7.34e-03    6.47e-03      5.87e-02    5.21e-02    8.1e-04
  23300      1.80e+00    1.74e+00      2.39e-02    3.85e-03      6.30e-02    6.11e-02    8.1e-04
  23400      1.78e+00    1.83e+00      1.96e-02    3.44e-03      6.23e-02    6.40e-02    8.1e-04
  23500      1.67e+00    1.51e+00      6.92e-03    9.97e-03      5.85e-02    5.28e-02    8.1e-04
  23600      2.03e+00    2.06e+00      1.19e-02    2.29e-02      7.12e-02    7.21e-02    8.1e-04
  23700      1.84e+00    1.72e+00      5.11e-02    5.13e-02      6.40e-02    5.97e-02    8.1e-04
  23800      1.66e+00    1.79e+00      3.15e-02    3.79e-02      5.78e-02    6.25e-02    8.1e-04
  23900      1.88e+00    1.75e+00      1.55e-02    2.96e-02      6.58e-02    6.11e-02    8.1e-04
  24000      1.73e+00    1.83e+00      3.13e-02    3.59e-02      6.05e-02    6.38e-02    8.1e-04
  24100      1.96e+00    1.82e+00      3.10e-02    3.52e-02      6.83e-02    6.36e-02    8.1e-04
